AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
621702,https://www.diatombase.org/aphia.php?p=taxdetails&id=621702,Bifibulatia holsatica,"(Helmcke & Krieger) Takano, 1983",accepted,,220,Species,621702.0,Bifibulatia holsatica,"(Helmcke & Krieger) Takano, 1983",602343,Chromista,Heterokontophyta,Bacillariophyceae,,,Bifibulatia,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Bifibulatia holsatica (Helmcke & Krieger) Takano, 1983. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=621702 on 2025-10-11",urn:lsid:marinespecies.org:taxname:621702,1.0,,,0.0,0.0,exact,2019-09-04T13:43:16Z
1304079,https://www.diatombase.org/aphia.php?p=taxdetails&id=1304079,Brevilinea kevei,"Ács, É., C. E. Wetzel, D. Hlúbiková, I. Grigorszky, Z. Trábert & L. Ector, 2016",accepted,,220,Species,1304079.0,Brevilinea kevei,"Ács, É., C. E. Wetzel, D. Hlúbiková, I. Grigorszky, Z. Trábert & L. Ector, 2016",603330,Chromista,Heterokontophyta,Bacillariophyceae,,,Brevilinea,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Brevilinea kevei Ács, É., C. E. Wetzel, D. Hlúbiková, I. Grigorszky, Z. Trábert & L. Ector, 2016. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=1304079 on 2025-10-11",urn:lsid:marinespecies.org:taxname:1304079,,,1.0,,0.0,exact,2018-10-10T16:29:49.907Z
450729,https://www.diatombase.org/aphia.php?p=taxdetails&id=450729,Coscinodiscopsis commutata,"(Grunow) E.A.Sar & I.Sunesen, 2008",accepted,,220,Species,450729.0,Coscinodiscopsis commutata,"(Grunow) E.A.Sar & I.Sunesen, 2008",450728,Chromista,Heterokontophyta,Bacillariophyceae,,,Coscinodiscopsis,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Coscinodiscopsis commutata (Grunow) E.A.Sar & I.Sunesen, 2008. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=450729 on 2025-10-11",urn:lsid:marinespecies.org:taxname:450729,1.0,,,,,exact,2024-10-18T17:03:46.190Z
450730,https://www.diatombase.org/aphia.php?p=taxdetails&id=450730,Coscinodiscopsis jonesiana,"(Greville) E.A.Sar & I.Sunesen, 2008",accepted,,220,Species,450730.0,Coscinodiscopsis jonesiana,"(Greville) E.A.Sar & I.Sunesen, 2008",450728,Chromista,Heterokontophyta,Bacillariophyceae,,,Coscinodiscopsis,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Coscinodiscopsis jonesiana (Greville) E.A.Sar & I.Sunesen, 2008. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=450730 on 2025-10-11",urn:lsid:marinespecies.org:taxname:450730,1.0,,,,,exact,2024-10-18T17:03:46.190Z
656896,https://www.diatombase.org/aphia.php?p=taxdetails&id=656896,Cresswellia superba,"Greville, 1861",accepted,,220,Species,656896.0,Cresswellia superba,"Greville, 1861",163439,Chromista,Heterokontophyta,Bacillariophyceae,,,Cresswellia,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Cresswellia superba Greville, 1861. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=656896 on 2025-10-11",urn:lsid:marinespecies.org:taxname:656896,1.0,,,0.0,0.0,exact,2017-03-06T10:34:27.783Z
1307313,https://www.diatombase.org/aphia.php?p=taxdetails&id=1307313,Medlinella amphoroidea,"Frankovich, Ashworth & M.J. Sullivan, 2016",accepted,,220,Species,1307313.0,Medlinella amphoroidea,"Frankovich, Ashworth & M.J. Sullivan, 2016",1307312,Chromista,Heterokontophyta,Bacillariophyceae,,,Medlinella,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Medlinella amphoroidea Frankovich, Ashworth & M.J. Sullivan, 2016. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=1307313 on 2025-10-11",urn:lsid:marinespecies.org:taxname:1307313,1.0,,,,,exact,2018-10-31T15:36:14.387Z
1305205,https://www.diatombase.org/aphia.php?p=taxdetails&id=1305205,Odontidium andinum,"Vouilloud & S.Sala in Sala & Vouilloud, 2018",accepted,,220,Species,1305205.0,Odontidium andinum,"Vouilloud & S.Sala in Sala & Vouilloud, 2018",175539,Chromista,Heterokontophyta,Bacillariophyceae,,,Odontidium,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Odontidium andinum Vouilloud & S.Sala in Sala & Vouilloud, 2018. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=1305205 on 2025-10-11",urn:lsid:marinespecies.org:taxname:1305205,0.0,0.0,1.0,0.0,0.0,exact,2018-10-19T02:46:12.563Z
656276,https://www.diatombase.org/aphia.php?p=taxdetails&id=656276,Odontidium harrisonii,"Roper, 1854",accepted,,220,Species,656276.0,Odontidium harrisonii,"Roper, 1854",175539,Chromista,Heterokontophyta,Bacillariophyceae,,,Odontidium,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Odontidium harrisonii Roper, 1854. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=656276 on 2025-10-11",urn:lsid:marinespecies.org:taxname:656276,0.0,0.0,1.0,1.0,,exact,2012-09-04T13:39:36.343Z
704539,https://www.diatombase.org/aphia.php?p=taxdetails&id=704539,Odontidium hiemale,,accepted,,220,Species,704539.0,Odontidium hiemale,,175539,Chromista,Heterokontophyta,Bacillariophyceae,,,Odontidium,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Odontidium hiemale. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=704539 on 2025-10-11",urn:lsid:marinespecies.org:taxname:704539,,,,,,exact,2012-09-28T07:56:11.153Z
179812,https://www.diatombase.org/aphia.php?p=taxdetails&id=179812,Odontidium hyemale,"(Lyngbye) Kützing, 1844",accepted,,220,Species,179812.0,Odontidium hyemale,"(Lyngbye) Kützing, 1844",175539,Chromista,Heterokontophyta,Bacillariophyceae,,,Odontidium,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Odontidium hyemale (Lyngbye) Kützing, 1844. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=179812 on 2025-10-11",urn:lsid:marinespecies.org:taxname:179812,0.0,0.0,1.0,,,exact,2021-06-17T23:00:27.043Z
179815,https://www.diatombase.org/aphia.php?p=taxdetails&id=179815,Odontidium mesodon,"(Kützing) Kützing, 1849",accepted,,220,Species,179815.0,Odontidium mesodon,"(Kützing) Kützing, 1849",175539,Chromista,Heterokontophyta,Bacillariophyceae,,,Odontidium,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Odontidium mesodon (Kützing) Kützing, 1849. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=179815 on 2025-10-11",urn:lsid:marinespecies.org:taxname:179815,,,1.0,,,exact,2021-06-17T23:00:27.043Z
650695,https://www.diatombase.org/aphia.php?p=taxdetails&id=650695,Okedenia scopulorum,(Brébisson) Mereschkowsky,accepted,,220,Species,650695.0,Okedenia scopulorum,(Brébisson) Mereschkowsky,574077,Chromista,Heterokontophyta,Bacillariophyceae,,,Okedenia,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Okedenia scopulorum (Brébisson) Mereschkowsky. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=650695 on 2025-10-11",urn:lsid:marinespecies.org:taxname:650695,,,,,,exact,2015-06-26T12:14:04.327Z
596782,https://www.diatombase.org/aphia.php?p=taxdetails&id=596782,Orthoneis binotata,"(Grunow) Grunow, 1867",accepted,,220,Species,596782.0,Orthoneis binotata,"(Grunow) Grunow, 1867",593817,Chromista,Heterokontophyta,Bacillariophyceae,,,Orthoneis,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Orthoneis binotata (Grunow) Grunow, 1867. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=596782 on 2025-10-11",urn:lsid:marinespecies.org:taxname:596782,1.0,,,0.0,,exact,2012-04-02T10:23:38Z
611844,https://www.diatombase.org/aphia.php?p=taxdetails&id=611844,Pleurostauron javanicum,"Grunow, 1868",accepted,,220,Species,611844.0,Pleurostauron javanicum,"Grunow, 1868",175897,Chromista,Heterokontophyta,Bacillariophyceae,,,Pleurostauron,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Pleurostauron javanicum Grunow, 1868. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=611844 on 2025-10-11",urn:lsid:marinespecies.org:taxname:611844,,,1.0,0.0,0.0,exact,2012-09-03T10:56:52Z
1306333,https://www.diatombase.org/aphia.php?p=taxdetails&id=1306333,Zygoceros atlanticus,"(Frenguelli) Sar, 2015",accepted,,220,Species,1306333.0,Zygoceros atlanticus,"(Frenguelli) Sar, 2015",162969,Chromista,Heterokontophyta,Bacillariophyceae,,,Zygoceros,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Zygoceros atlanticus (Frenguelli) Sar, 2015. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=1306333 on 2025-10-11",urn:lsid:marinespecies.org:taxname:1306333,1.0,,0.0,0.0,,exact,2018-10-24T16:03:36.210Z
1466450,https://www.diatombase.org/aphia.php?p=taxdetails&id=1466450,Arcanodiscus crawfordianus,"Goeyers & Van de Vijver, 2020",accepted,,220,Species,1466450.0,Arcanodiscus crawfordianus,"Goeyers & Van de Vijver, 2020",1067037,Chromista,Heterokontophyta,Bacillariophyceae,Arcanodiscales,Arcanodiscaceae,Arcanodiscus,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Arcanodiscus crawfordianus Goeyers & Van de Vijver, 2020. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=1466450 on 2025-10-11",urn:lsid:marinespecies.org:taxname:1466450,,,1.0,,0.0,exact,2020-11-16T02:37:38.540Z
1329762,https://www.diatombase.org/aphia.php?p=taxdetails&id=1329762,Arcanodiscus desmetianus,"Van de Vijver in Van de Vijver & Houk, 2019",accepted,,220,Species,1329762.0,Arcanodiscus desmetianus,"Van de Vijver in Van de Vijver & Houk, 2019",1067037,Chromista,Heterokontophyta,Bacillariophyceae,Arcanodiscales,Arcanodiscaceae,Arcanodiscus,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Arcanodiscus desmetianus Van de Vijver in Van de Vijver & Houk, 2019. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=1329762 on 2025-10-11",urn:lsid:marinespecies.org:taxname:1329762,0.0,0.0,,1.0,0.0,exact,2019-03-03T04:13:49.613Z
1466451,https://www.diatombase.org/aphia.php?p=taxdetails&id=1466451,Arcanodiscus indistinctus,"Goeyers & Van de Vijver, 2020",accepted,,220,Species,1466451.0,Arcanodiscus indistinctus,"Goeyers & Van de Vijver, 2020",1067037,Chromista,Heterokontophyta,Bacillariophyceae,Arcanodiscales,Arcanodiscaceae,Arcanodiscus,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Arcanodiscus indistinctus Goeyers & Van de Vijver, 2020. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=1466451 on 2025-10-11",urn:lsid:marinespecies.org:taxname:1466451,,,1.0,,0.0,exact,2020-11-16T02:37:38.540Z
1067038,https://www.diatombase.org/aphia.php?p=taxdetails&id=1067038,Arcanodiscus platti,"Maidana & E.Morales in Maidana et al., 2017",accepted,,220,Species,1067038.0,Arcanodiscus platti,"Maidana & E.Morales in Maidana et al., 2017",1067037,Chromista,Heterokontophyta,Bacillariophyceae,Arcanodiscales,Arcanodiscaceae,Arcanodiscus,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2025). DiatomBase. Arcanodiscus platti Maidana & E.Morales in Maidana et al., 2017. Accessed at: https://www.diatombase.org/aphia.php?p=taxdetails&id=1067038 on 2025-10-11",urn:lsid:marinespecies.org:taxname:1067038,0.0,0.0,1.0,0.0,0.0,exact,2018-03-09T02:00:54.037Z
